month,cpi,oil_nominal,gas_nominal,diesel_nominal
June 1991,1.3600000000,17.7800000000,1.1282500000,1.1170000000
July 1991,1.3620000000,18.1400000000,1.0956000000,1.0590000000
August 1991,1.3660000000,18.7100000000,1.1147500000,1.0960000000
September 1991,1.3700000000,19.0000000000,1.1092000000,1.1220000000
October 1991,1.3720000000,19.8600000000,1.0880000000,1.1420000000
November 1991,1.3780000000,19.3500000000,1.0990000000,1.1720000000
December 1991,1.3820000000,17.1700000000,1.0762000000,1.1240000000
January 1992,1.3830000000,16.1000000000,1.0220000000,1.0700000000
February 1992,1.3860000000,16.0000000000,1.0060000000,1.0580000000
March 1992,1.3910000000,16.3600000000,1.0126000000,1.0590000000
April 1992,1.3940000000,17.3700000000,1.0517500000,1.0800000000
May 1992,1.3970000000,18.7900000000,1.1072500000,1.1070000000
June 1992,1.4010000000,19.8300000000,1.1448000000,1.1270000000
July 1992,1.4050000000,19.7400000000,1.1365000000,1.1290000000
August 1992,1.4080000000,19.2500000000,1.1218000000,1.1230000000
September 1992,1.4110000000,19.2600000000,1.1215000000,1.1330000000
October 1992,1.4170000000,19.3400000000,1.1140000000,1.1500000000
November 1992,1.4210000000,18.4000000000,1.1112000000,1.1390000000
December 1992,1.4230000000,16.9400000000,1.0775000000,1.1120000000
January 1993,1.4280000000,16.8000000000,1.0617500000,1.0920000000
February 1993,1.4310000000,17.4100000000,1.0542500000,1.0870000000
March 1993,1.4330000000,17.8200000000,1.0522000000,1.1070000000
April 1993,1.4380000000,18.3500000000,1.0780000000,1.1040000000
May 1993,1.4420000000,17.8900000000,1.1004000000,1.1030000000
June 1993,1.4430000000,16.8000000000,1.0972500000,1.0940000000
July 1993,1.4450000000,15.8100000000,1.0777500000,1.0750000000
August 1993,1.4480000000,15.6400000000,1.0616000000,1.0640000000
September 1993,1.4500000000,15.3200000000,1.0495000000,1.1030000000
October 1993,1.4560000000,15.5900000000,1.0917500000,1.2170000000
November 1993,1.4600000000,14.0500000000,1.0664000000,1.1900000000
December 1993,1.4630000000,12.5600000000,1.0140000000,1.0960000000
January 1994,1.4630000000,12.9300000000,0.9984000000,1.0840000000
February 1994,1.4670000000,12.9000000000,1.0090000000,1.1120000000
March 1994,1.4710000000,13.1800000000,1.0077500000,1.1100000000
April 1994,1.4720000000,14.5400000000,1.0272500000,1.1070000000
May 1994,1.4750000000,15.7400000000,1.0474000000,1.1000000000
June 1994,1.4790000000,17.0400000000,1.0780000000,1.1030000000
July 1994,1.4840000000,17.5200000000,1.1057500000,1.1100000000
August 1994,1.4900000000,16.6600000000,1.1548000000,1.1230000000
September 1994,1.4930000000,15.9100000000,1.1437500000,1.1250000000
October 1994,1.4940000000,16.2700000000,1.1136000000,1.1220000000
November 1994,1.4980000000,16.4600000000,1.1157500000,1.1310000000
December 1994,1.5010000000,15.7800000000,1.0905000000,1.1130000000
January 1995,1.5050000000,16.5600000000,1.0818000000,1.0980000000
February 1995,1.5090000000,17.2100000000,1.0725000000,1.0880000000
March 1995,1.5120000000,17.2100000000,1.0720000000,1.0880000000
April 1995,1.5180000000,18.7000000000,1.1112500000,1.1040000000
May 1995,1.5210000000,18.5600000000,1.1784000000,1.1260000000
June 1995,1.5240000000,17.4300000000,1.1915000000,1.1200000000
July 1995,1.5260000000,16.5000000000,1.1538000000,1.1000000000
August 1995,1.5290000000,16.5400000000,1.1232500000,1.1050000000
September 1995,1.5310000000,16.7100000000,1.1107500000,1.1190000000
October 1995,1.5350000000,16.2900000000,1.0872000000,1.1150000000
November 1995,1.5370000000,16.5200000000,1.0622500000,1.1200000000
December 1995,1.5390000000,17.5300000000,1.0712500000,1.1300000000
January 1996,1.5470000000,17.4800000000,1.0904000000,1.1450000000
February 1996,1.5500000000,17.7700000000,1.0892500000,1.1450000000
March 1996,1.5550000000,19.9000000000,1.1370000000,1.1830000000
April 1996,1.5610000000,21.3300000000,1.2306000000,1.2750000000
May 1996,1.5640000000,20.1200000000,1.2791500000,1.2730000000
June 1996,1.5670000000,19.3200000000,1.2558000000,1.2010000000
July 1996,1.5700000000,19.6000000000,1.2272200000,1.1760000000
August 1996,1.5720000000,20.5300000000,1.2065000000,1.2010000000
September 1996,1.5770000000,22.0400000000,1.2021600000,1.2650000000
October 1996,1.5820000000,23.2200000000,1.2040000000,1.3230000000
November 1996,1.5870000000,22.6600000000,1.2322500000,1.3230000000
December 1996,1.5910000000,23.2200000000,1.2352000000,1.3090000000
January 1997,1.5940000000,23.0200000000,1.2362500000,1.2910000000
February 1997,1.5970000000,20.8800000000,1.2300000000,1.2800000000
March 1997,1.5980000000,19.1600000000,1.2050000000,1.2290000000
April 1997,1.5990000000,17.8300000000,1.1990000000,1.2120000000
May 1997,1.5990000000,18.5500000000,1.2002500000,1.1960000000
June 1997,1.6020000000,17.3500000000,1.1976000000,1.1730000000
July 1997,1.6040000000,17.4900000000,1.1742500000,1.1510000000
August 1997,1.6080000000,17.9600000000,1.2235000000,1.1650000000
September 1997,1.6120000000,17.8500000000,1.2314000000,1.1600000000
October 1997,1.6150000000,18.7300000000,1.1967500000,1.1830000000
November 1997,1.6170000000,17.8800000000,1.1707500000,1.1920000000
December 1997,1.6180000000,15.9500000000,1.1314000000,1.1100000000
January 1998,1.6200000000,14.3300000000,1.0862500000,1.1200000000
February 1998,1.6200000000,13.3200000000,1.0490000000,1.0840000000
March 1998,1.6200000000,12.3400000000,1.0168000000,1.0630000000
April 1998,1.6220000000,12.8100000000,1.0302500000,1.0670000000
May 1998,1.6260000000,12.6100000000,1.0635000000,1.0690000000
June 1998,1.6280000000,11.6100000000,1.0644000000,1.0410000000
July 1998,1.6320000000,11.5500000000,1.0552500000,1.0290000000
August 1998,1.6340000000,11.3400000000,1.0260000000,1.0070000000
September 1998,1.6350000000,12.7700000000,1.0092500000,1.0240000000
October 1998,1.6390000000,12.1100000000,1.0187500000,1.0390000000
November 1998,1.6410000000,10.9900000000,0.9954000000,1.0220000000
December 1998,1.6440000000,9.3900000000,0.9450000000,0.9730000000
January 1999,1.6470000000,10.1600000000,0.9390000000,0.9670000000
February 1999,1.6470000000,10.3300000000,0.9205000000,0.9590000000
March 1999,1.6480000000,12.1000000000,0.9820000000,0.9970000000
April 1999,1.6590000000,14.8200000000,1.1310000000,1.0790000000
May 1999,1.6600000000,15.5700000000,1.1306000000,1.0730000000
June 1999,1.6600000000,15.9100000000,1.1142500000,1.0740000000
July 1999,1.6670000000,18.0500000000,1.1575000000,1.1220000000
August 1999,1.6710000000,19.5600000000,1.2208000000,1.1720000000
September 1999,1.6780000000,21.6400000000,1.2555000000,1.2150000000
October 1999,1.6810000000,21.6200000000,1.2442500000,1.2280000000
November 1999,1.6840000000,23.1400000000,1.2514000000,1.2630000000
December 1999,1.6880000000,24.3500000000,1.2725000000,1.2920000000
January 2000,1.6930000000,25.2900000000,1.2888000000,1.3560000000
February 2000,1.7000000000,27.3900000000,1.3770000000,1.4610000000
March 2000,1.7100000000,27.7000000000,1.5162500000,1.4790000000
